25
BnB;SwO;Abweichung
1983,2462;8,1382;4
7642,1682;10,2944;2
21128,154;6,2834;1
3242,7708;10,2356;0
22207,0543;8,8557;3
6222,5756;4,3301;0
4430,3311;15,1503;2
5792,9213;8,4144;2
2158,9861;6,2335;5
858,3563;6,3072;3
2600,9291;10,6597;1
8924,4669;8,0426;6
301,5035;8,1196;0
5207,7228;6,4686;2
10834,6334;8,5735;4
2575,259;6,9589;5
4594,161;6,4275;2
10860,5424;6,3114;2
600
BnB;SwO;Abweichung
28722,7274;7,7417;0
7920,6219;7,6834;3
7179,373;10,1423;0
3520,3624;10,0071;4
8207,5068;10,0509;1
7137,0792;12,9629;2
6040,235;10,0719;0
4597,637;10,3308;4
4872,0825;12,7534;2
16764,9386;12,2701;1
6924,3829;7,5504;5
21265,4604;12,265;2
5671,9767;7,7048;2
9220,6405;7,5952;0
8688,0933;7,7981;4
4971,4122;9,9012;4
2006,9673;12,4292;0
7798,6375;9,9068;4
28001,3384;12,9554;1
8211,0369;9,492;4
700
BnB;SwO;Abweichung
8934,5225;14,9586;2
10091,3253;11,9991;2
2676,6596;11,9631;0
2822,0936;12,084;1
10967,9941;14,5457;2
2766,0172;17,9517;1
13905,8121;9,6525;5
3634,5501;11,2722;0
3515,1123;15,3304;1
11045,8014;16,6189;1
2241,5863;8,9453;7
12876,8353;11,7266;2
4149,2267;18,2321;4
12974,1586;9,6436;1
9935,6188;14,0774;1
9398,8006;11,8754;4
35519,7032;8,8095;3
2879,8261;15,0113;5
18519,8488;8,9355;3
6033,0928;11,9823;2
800
BnB;SwO;Abweichung
12073,027;9,9739;1
6956,3332;10,913;3
24589,4353;13,0086;0
29417,4638;12,9008;0
32828,5356;16,8433;2
52058,7802;12,9946;2
4912,005;13,1317;4
43429,2246;10,2254;4
3387,7915;13,1644;3
11359,695;10,3551;1
5999,2423;16,2895;2
2278,2983;13,3505;4
724,2641;16,5886;0
7016,9772;13,6234;3
9121,3513;17,5328;3
10404,5448;14,1375;1
29550,9207;10,0178;3
26280,5133;14,0172;2
28866,8151;16,304;4
25734,3748;7,0508;1
900
BnB;SwO;Abweichung
5658,1704;18,9473;3
